    n                h'                l'                k'
        263 -0.3786201119E+01  0.3550147762E-02 -0.6280233103E-02
        264 -0.3790903634E+01  0.3537856661E-02 -0.6263576832E-02
        265 -0.3795599360E+01  0.3525688029E-02 -0.6247050483E-02
        266 -0.3800362994E+01  0.3513578322E-02 -0.6230914244E-02
        267 -0.3805019989E+01  0.3501669901E-02 -0.6214554182E-02
        268 -0.3809699723E+01  0.3489853693E-02 -0.6198422966E-02
        269 -0.3814414408E+01  0.3478118882E-02 -0.6182559972E-02
        270 -0.3819105518E+01  0.3466512300E-02 -0.6166760322E-02
        271 -0.3823793753E+01  0.3455016401E-02 -0.6151094263E-02
        272 -0.3828479175E+01  0.3443627559E-02 -0.6135560529E-02
        273 -0.3833162408E+01  0.3432347445E-02 -0.6120159514E-02
        274 -0.3837865354E+01  0.3421160298E-02 -0.6104963585E-02
        275 -0.3842530628E+01  0.3410097885E-02 -0.6089777616E-02
        276 -0.3847221530E+01  0.3399124598E-02 -0.6074813026E-02
        277 -0.3851897382E+01  0.3388259815E-02 -0.6059932058E-02
        278 -0.3856570962E+01  0.3377499134E-02 -0.6045175846E-02
        279 -0.3861241634E+01  0.3366835075E-02 -0.6030541205E-02
        280 -0.3865769543E+01  0.3356334769E-02 -0.6015568181E-02
        281 -0.3870588668E+01  0.3345800628E-02 -0.6001677226E-02
        282 -0.3875272944E+01  0.3335423294E-02 -0.5987470691E-02
        283 -0.3879917812E+01  0.3325158566E-02 -0.5973261129E-02
        284 -0.3884561398E+01  0.3314986843E-02 -0.5959171740E-02
        285 -0.3889236750E+01  0.3304897756E-02 -0.5945307103E-02
        286 -0.3893894814E+01  0.3294905675E-02 -0.5931507923E-02
        287 -0.3898543535E+01  0.3285009262E-02 -0.5917798705E-02
        288 -0.3903188110E+01  0.3275204162E-02 -0.5904194995E-02
        289 -0.3907839445E+01  0.3265484627E-02 -0.5890730077E-02
        290 -0.3912489356E+01  0.3255855592E-02 -0.5877376396E-02
        291 -0.3917137626E+01  0.3246313669E-02 -0.5864132182E-02
        292 -0.3921776195E+01  0.3236861381E-02 -0.5850971090E-02
        293 -0.3926410234E+01  0.3227495410E-02 -0.5837908373E-02
        294 -0.3931040999E+01  0.3218215204E-02 -0.5824946732E-02
        295 -0.3935653910E+01  0.3209018137E-02 -0.5812040959E-02
        296 -0.3940320834E+01  0.3199901085E-02 -0.5799408323E-02
        297 -0.3944902232E+01  0.3190878327E-02 -0.5786622482E-02
        298 -0.3949563912E+01  0.3181929101E-02 -0.5774187122E-02
        299 -0.3954169095E+01  0.3173064133E-02 -0.5761686151E-02
        300 -0.3958810149E+01  0.3164272631E-02 -0.5749397945E-02
        301 -0.3963417257E+01  0.3155566919E-02 -0.5737110446E-02
        302 -0.3968023099E+01  0.3146936437E-02 -0.5724921704E-02
        303 -0.3972625732E+01  0.3138384427E-02 -0.5712824644E-02
        304 -0.3977240351E+01  0.3129907548E-02 -0.5700863370E-02
        305 -0.3981840251E+01  0.3121507811E-02 -0.5688957555E-02
        306 -0.3986442848E+01  0.3113183082E-02 -0.5677157764E-02
        307 -0.3991037467E+01  0.3104932439E-02 -0.5665431687E-02
        308 -0.3995629249E+01  0.3096756826E-02 -0.5653793406E-02
        309 -0.4000216284E+01  0.3088652680E-02 -0.5642236666E-02
        310 -0.4004780292E+01  0.3080619994E-02 -0.5630707792E-02
        311 -0.4009391526E+01  0.3072660364E-02 -0.5619408404E-02
        312 -0.4013998879E+01  0.3064770357E-02 -0.5608189814E-02
        313 -0.4018553364E+01  0.3056950015E-02 -0.5596911020E-02
        314 -0.4023107706E+01  0.3049197056E-02 -0.5585722947E-02
        315 -0.4027709692E+01  0.3041516003E-02 -0.5574759930E-02
        316 -0.4032265962E+01  0.3033900943E-02 -0.5563755943E-02
        317 -0.4036823586E+01  0.3026351043E-02 -0.5552844048E-02
        318 -0.4041376699E+01  0.3018867706E-02 -0.5542006711E-02
        319 -0.4045956984E+01  0.3011452980E-02 -0.5531331607E-02
        320 -0.4050499302E+01  0.3004100341E-02 -0.5520635791E-02
        321 -0.4055051737E+01  0.2996813129E-02 -0.5510052856E-02
        322 -0.4059592390E+01  0.2989587810E-02 -0.5499521215E-02
        323 -0.4064133152E+01  0.2982426445E-02 -0.5489072933E-02
        324 -0.4068670209E+01  0.2975326555E-02 -0.5478696793E-02
        325 -0.4073128645E+01  0.2968273522E-02 -0.5468188289E-02
        326 -0.4077754775E+01  0.2961315875E-02 -0.5458216455E-02
        327 -0.4082298774E+01  0.2954379346E-02 -0.5448105001E-02
        328 -0.4086806292E+01  0.2947542050E-02 -0.5437966079E-02
        329 -0.4091310257E+01  0.2940740663E-02 -0.5427900395E-02
        330 -0.4095838833E+01  0.2934002821E-02 -0.5417978754E-02
        331 -0.4100334015E+01  0.2927318495E-02 -0.5408044597E-02
        332 -0.4104859077E+01  0.2920697135E-02 -0.5398266538E-02
        333 -0.4109358390E+01  0.2914127528E-02 -0.5388495677E-02
        334 -0.4113854955E+01  0.2907614442E-02 -0.5378792595E-02
        335 -0.4118374886E+01  0.2901163698E-02 -0.5369225220E-02
        336 -0.4122850585E+01  0.2894757194E-02 -0.5359615319E-02
        337 -0.4127350461E+01  0.2888412814E-02 -0.5350141582E-02
        338 -0.4131835207E+01  0.2882119894E-02 -0.5340700508E-02
        339 -0.4136315288E+01  0.2875879407E-02 -0.5331319110E-02
        340 -0.4140835920E+01  0.2869705477E-02 -0.5322113071E-02
        341 -0.4145273203E+01  0.2863558258E-02 -0.5312762674E-02
        342 -0.4149691472E+01  0.2857456166E-02 -0.5303434195E-02
        343 -0.4154216900E+01  0.2851444234E-02 -0.5294448586E-02
        344 -0.4158664081E+01  0.2845456970E-02 -0.5285331753E-02
        345 -0.4163136504E+01  0.2839529849E-02 -0.5276346994E-02
        346 -0.4167570559E+01  0.2833639382E-02 -0.5267332562E-02
        347 -0.4172039765E+01  0.2827813185E-02 -0.5258473351E-02
        348 -0.4176479125E+01  0.2822026016E-02 -0.5249605186E-02
        349 -0.4180914162E+01  0.2816286564E-02 -0.5240791891E-02
        350 -0.4185348227E+01  0.2810595108E-02 -0.5232041365E-02
        351 -0.4189793611E+01  0.2804957440E-02 -0.5223383293E-02
        352 -0.4194231093E+01  0.2799365079E-02 -0.5214769349E-02
        353 -0.4198651809E+01  0.2793813507E-02 -0.5206177375E-02
        354 -0.4203069832E+01  0.2788307968E-02 -0.5197641647E-02
        355 -0.4207470307E+01  0.2782841716E-02 -0.5189125343E-02
        356 -0.4211907862E+01  0.2777439035E-02 -0.5180761161E-02
        357 -0.4216312937E+01  0.2772067584E-02 -0.5172379082E-02
        358 -0.4220719849E+01  0.2766742778E-02 -0.5164062174E-02
        359 -0.4225105864E+01  0.2761453996E-02 -0.5155754998E-02
        360 -0.4229518695E+01  0.2756221413E-02 -0.5147572290E-02
        361 -0.4233889342E+01  0.2751014847E-02 -0.5139347294E-02
        362 -0.4238286125E+01  0.2745864829E-02 -0.5131243672E-02
        363 -0.4242660785E+01  0.2740747395E-02 -0.5123145571E-02
        364 -0.4247030031E+01  0.2735670586E-02 -0.5115092476E-02
        365 -0.4251409331E+01  0.2730648486E-02 -0.5107119677E-02
        366 -0.4255782439E+01  0.2725659787E-02 -0.5099189734E-02
        367 -0.4260154241E+01  0.2720712955E-02 -0.5091312953E-02
        368 -0.4264506407E+01  0.2715797848E-02 -0.5083446060E-02
        369 -0.4268857249E+01  0.2710923356E-02 -0.5075631622E-02
        370 -0.4273175977E+01  0.2706072450E-02 -0.5067797728E-02
        371 -0.4277561016E+01  0.2701298869E-02 -0.5060172104E-02
        372 -0.4281909716E+01  0.2696545842E-02 -0.5052516258E-02
        373 -0.4286236396E+01  0.2691821143E-02 -0.5044863316E-02
        374 -0.4290554093E+01  0.2687131070E-02 -0.5037243183E-02
        375 -0.4294895569E+01  0.2682493065E-02 -0.5029730512E-02
        376 -0.4299201303E+01  0.2677875085E-02 -0.5022188479E-02
        377 -0.4303526404E+01  0.2673306527E-02 -0.5014742655E-02
        378 -0.4307833341E+01  0.2668766056E-02 -0.5007307246E-02
        379 -0.4312133717E+01  0.2664259789E-02 -0.4999908313E-02
        380 -0.4316451794E+01  0.2659801644E-02 -0.4992600074E-02
        381 -0.4320744201E+01  0.2655365899E-02 -0.4985284501E-02
        382 -0.4325041243E+01  0.2650970203E-02 -0.4978029331E-02
        383 -0.4329322585E+01  0.2646602008E-02 -0.4970788807E-02
        384 -0.4333602441E+01  0.2642269423E-02 -0.4963594341E-02
        385 -0.4337826441E+01  0.2637938231E-02 -0.4956325315E-02
        386 -0.4342162842E+01  0.2633713336E-02 -0.4949353123E-02
        387 -0.4346448040E+01  0.2629491038E-02 -0.4942315990E-02
        388 -0.4350700658E+01  0.2625285772E-02 -0.4935254672E-02
        389 -0.4354939133E+01  0.2621105627E-02 -0.4928210188E-02
        390 -0.4359250026E+01  0.2617005865E-02 -0.4921370748E-02
        391 -0.4363444954E+01  0.2612867381E-02 -0.4914325470E-02
        392 -0.4367692852E+01  0.2608796773E-02 -0.4907441879E-02
